dtype,enzyme,model,scaler,split,tp,fp,tn,fn,val_accuracy,val_precision,val_recall,val_f1,auc,mcc,val_loss,train_time,prediction_time,C,degree,kernel
PC,IN,svc,std,2,81,5,1280,982,0.5796422487223168,0.9418604651162791,0.0761994355597366,0.1409921671018277,0.5361541924880395,0.19160698261506304,15.151229086481527,0.09175395965576172,0.13068079948425293,0.2,4,poly
PC,IN,svc,std,2,663,112,1173,400,0.7819420783645656,0.8554838709677419,0.6237064910630291,0.721436343852013,0.7682734789945497,0.5679508063382964,7.859604146178868,0.09670853614807129,0.34108853340148926,0.2,4,rbf
PC,IN,svc,std,2,518,308,977,545,0.6367120954003407,0.6271186440677966,0.4873000940733772,0.5484383271572261,0.6238056890600349,0.258102043780567,13.094223313848778,0.0877680778503418,0.13164782524108887,0.2,4,sigmoid
PC,IN,svc,std,2,83,5,1280,980,0.5804940374787053,0.9431818181818182,0.07808090310442145,0.14422241529105126,0.5370949262603819,0.19443173348657874,15.120527507785514,0.09574580192565918,0.129652738571167,0.2,5,poly
PC,IN,svc,std,2,663,112,1173,400,0.7819420783645656,0.8554838709677419,0.6237064910630291,0.721436343852013,0.7682734789945497,0.5679508063382964,7.859604146178868,0.09573698043823242,0.3450794219970703,0.2,5,rbf
PC,IN,svc,std,2,518,308,977,545,0.6367120954003407,0.6271186440677966,0.4873000940733772,0.5484383271572261,0.6238056890600349,0.258102043780567,13.094223313848778,0.08976244926452637,0.13164472579956055,0.2,5,sigmoid
PC,IN,svc,std,2,84,4,1281,979,0.5813458262350937,0.9545454545454546,0.07902163687676388,0.14596003475238922,0.5379543982049189,0.19893662504200096,15.089825929089502,0.09474968910217285,0.12369704246520996,1.0,3,poly
PC,IN,svc,std,2,755,109,1176,308,0.8224020442930153,0.8738425925925926,0.7102539981185324,0.783601453035807,0.8127145476973985,0.645538955862297,6.401279158118336,0.08378005027770996,0.2822451591491699,1.0,3,rbf
PC,IN,svc,std,2,578,465,820,485,0.5954003407155025,0.5541706615532119,0.5437441204139228,0.5489078822412156,0.5909382080668836,0.18219949709752636,14.58324988060532,0.06685113906860352,0.09826064109802246,1.0,3,sigmoid
PC,IN,svc,std,2,83,5,1280,980,0.5804940374787053,0.9431818181818182,0.07808090310442145,0.14422241529105126,0.5370949262603819,0.19443173348657874,15.120527507785514,0.09275341033935547,0.1276555061340332,1.0,4,poly
PC,IN,svc,std,2,755,109,1176,308,0.8224020442930153,0.8738425925925926,0.7102539981185324,0.783601453035807,0.8127145476973985,0.645538955862297,6.401279158118336,0.08377695083618164,0.28324222564697266,1.0,4,rbf
PC,IN,svc,std,2,578,465,820,485,0.5954003407155025,0.5541706615532119,0.5437441204139228,0.5489078822412156,0.5909382080668836,0.18219949709752636,14.58324988060532,0.06884336471557617,0.09873533248901367,1.0,4,sigmoid
PC,IN,svc,std,2,85,4,1281,978,0.5817717206132879,0.9550561797752809,0.0799623706491063,0.14756944444444445,0.5384247650910902,0.20031168956672374,15.074475139741498,0.09574460983276367,0.13164830207824707,1.0,5,poly
PC,IN,svc,std,2,755,109,1176,308,0.8224020442930153,0.8738425925925926,0.7102539981185324,0.783601453035807,0.8127145476973985,0.645538955862297,6.401279158118336,0.08178567886352539,0.28520917892456055,1.0,5,rbf
PC,IN,svc,std,2,578,465,820,485,0.5954003407155025,0.5541706615532119,0.5437441204139228,0.5489078822412156,0.5909382080668836,0.18219949709752636,14.58324988060532,0.06981849670410156,0.09873509407043457,1.0,5,sigmoid
PC,IN,svc,std,2,99,6,1279,964,0.5868824531516184,0.9428571428571428,0.09313264346190028,0.1695205479452055,0.5442316913807556,0.21304554257994396,14.890265667565432,0.09577155113220215,0.12369775772094727,2.0,3,poly
PC,IN,svc,std,2,770,124,1161,293,0.8224020442930153,0.8612975391498882,0.7243650047036688,0.7869187531936638,0.8139334751144802,0.6436278925635956,6.401279158118338,0.08381175994873047,0.26628804206848145,2.0,3,rbf
PC,IN,svc,std,2,595,488,797,468,0.5928449744463373,0.5493998153277931,0.5597365945437441,0.554520037278658,0.5899850287893817,0.17970450338033686,14.675354616693353,0.06582021713256836,0.09676909446716309,2.0,3,sigmoid
PC,IN,svc,std,2,93,7,1278,970,0.583901192504259,0.93,0.08748824082784572,0.15993121238177127,0.5410203850053625,0.20223195046876224,14.997721193001471,0.09473848342895508,0.12665939331054688,2.0,4,poly
PC,IN,svc,std,2,770,124,1161,293,0.8224020442930153,0.8612975391498882,0.7243650047036688,0.7869187531936638,0.8139334751144802,0.6436278925635956,6.401279158118338,0.08177995681762695,0.26828479766845703,2.0,4,rbf
PC,IN,svc,std,2,595,488,797,468,0.5928449744463373,0.5493998153277931,0.5597365945437441,0.554520037278658,0.5899850287893817,0.17970450338033686,14.675354616693353,0.06585216522216797,0.09574604034423828,2.0,4,sigmoid
PC,IN,svc,std,2,92,6,1279,971,0.583901192504259,0.9387755102040817,0.08654750705550329,0.15848406546080965,0.5409391231775571,0.20378979464865718,14.997721193001471,0.09674239158630371,0.12967920303344727,2.0,5,poly
PC,IN,svc,std,2,770,124,1161,293,0.8224020442930153,0.8612975391498882,0.7243650047036688,0.7869187531936638,0.8139334751144802,0.6436278925635956,6.401279158118338,0.08577227592468262,0.2703061103820801,2.0,5,rbf
PC,IN,svc,std,2,595,488,797,468,0.5928449744463373,0.5493998153277931,0.5597365945437441,0.554520037278658,0.5899850287893817,0.17970450338033686,14.675354616693353,0.06582474708557129,0.09773874282836914,2.0,5,sigmoid
PC,IN,svc,std,2,923,354,931,140,0.7896081771720613,0.7227877838684417,0.8682972718720602,0.7888888888888889,0.7964054452745514,0.592439743900966,7.583289937914767,0.0967710018157959,0.12070488929748535,8.0,3,poly
PC,IN,svc,std,2,883,121,1164,180,0.8718057921635435,0.8794820717131474,0.8306679209783632,0.8543783260764393,0.8682522484269248,0.7410151858124893,4.620587593749686,0.0817868709564209,0.2403583526611328,8.0,3,rbf
PC,IN,svc,std,2,589,500,785,474,0.5851788756388415,0.5408631772268135,0.5540921919096896,0.5473977695167286,0.5824935667719655,0.1646802313399492,14.951668824957457,0.061806678771972656,0.08676767349243164,8.0,3,sigmoid
PC,IN,svc,std,2,105,8,1277,958,0.5885860306643952,0.9292035398230089,0.09877704609595485,0.17857142857142858,0.5462756825810514,0.21524002793408242,14.82886251017341,0.09277868270874023,0.12566518783569336,8.0,4,poly
PC,IN,svc,std,2,883,121,1164,180,0.8718057921635435,0.8794820717131474,0.8306679209783632,0.8543783260764393,0.8682522484269248,0.7410151858124893,4.620587593749686,0.08179163932800293,0.23733735084533691,8.0,4,rbf
PC,IN,svc,std,2,589,500,785,474,0.5851788756388415,0.5408631772268135,0.5540921919096896,0.5473977695167286,0.5824935667719655,0.1646802313399492,14.951668824957457,0.06083345413208008,0.08673596382141113,8.0,4,sigmoid
PC,IN,svc,std,2,102,7,1278,961,0.5877342419080068,0.9357798165137615,0.09595484477892756,0.17406143344709898,0.5452536869809035,0.21412228264356825,14.85956408886942,0.09577131271362305,0.12765836715698242,8.0,5,poly
PC,IN,svc,std,2,883,121,1164,180,0.8718057921635435,0.8794820717131474,0.8306679209783632,0.8543783260764393,0.8682522484269248,0.7410151858124893,4.620587593749686,0.08178591728210449,0.23537325859069824,8.0,5,rbf
PC,IN,svc,std,2,589,500,785,474,0.5851788756388415,0.5408631772268135,0.5540921919096896,0.5473977695167286,0.5824935667719655,0.1646802313399492,14.951668824957457,0.06182575225830078,0.0877373218536377,8.0,5,sigmoid
